Date,Activity ID,Type,Distance (km),Duration,Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
2021-09-04,d4ba94c1-bf61-4720-bb87-6b0d84cfc988,Cycling,21.04,2610,0.49,929,151,113,106.61
2020-11-07,a0c9d144-d3f0-4a31-8b5b-30bf06e08999,Cycling,16.32,3300,0.3,807,118,67,154.64
2021-05-27,83c0fbdc-f43f-414d-a49d-d7af78894f57,Walking,18.47,1550,0.74,1300,499,80,404.78
2021-09-09,4579c166-fa23-4be8-9ecd-a23d1dacfb4a,Walking,11.43,3194,0.22,679,471,64,519.24
2022-06-05,88ba7e89-452e-47d3-ae97-de352c048d7e,Walking,9.21,2604,0.21,1202,290,144,212.33
2022-07-09,6a38b69a-fb5c-4512-919d-405545dcb1c9,Cycling,17.85,1468,0.74,1405,339,94,244.45
2021-12-09,f7c89cb5-085a-4f93-bf8e-77c80e686302,Running,17.22,1194,0.91,1118,403,131,130.17
2020-12-30,39d79a09-0610-4e68-8c77-c51905ef6437,Walking,7.4,1834,0.25,1457,56,67,72.09
2021-03-25,bc2f47a8-8569-43cb-9b59-ae7945dd1a62,Walking,22.66,3369,0.4,631,368,75,350.79
2021-06-24,f824c10f-b2af-4328-99a0-8e99ccf9989f,Running,17.2,3092,0.34,525,90,75,63.74
2021-03-06,fb2369d4-5913-4ef6-8ba5-b33797a4f145,Running,28.62,338,5.72,1006,469,105,44.97
2022-05-08,9cb5766f-bb78-42a1-9a64-9116a0f960fd,Running,8.87,1907,0.29,1355,105,148,58.81
2021-04-02,2731746a-c7da-4d7b-b8c5-d0ac3c390591,Running,2.2,1225,0.11,1434,178,74,137.97
2021-12-02,f496fcc9-f10e-4f93-963e-9838a59215ae,Cycling,2.57,546,0.29,1442,483,122,101.19
2020-10-28,c3326e57-ce44-4891-b863-2fa4773e7a2d,Walking,15.71,2781,0.34,1445,301,100,401.94
2021-09-18,c01c56a0-5f16-4026-900e-568ab883a404,Walking,12.36,672,1.12,1106,38,114,8.14
2021-03-18,c0856557-fbb4-481d-8463-ba552ecfe626,Walking,26.25,77,26.25,903,175,77,4.1
2021-04-15,e0a80e7a-9c5d-42ff-bd2c-a54224eded64,Walking,14.36,2614,0.33,1276,198,114,192.88
2022-04-02,adce2cf1-db0f-4ac8-b72f-6d66b8a359bc,Cycling,21.44,3440,0.38,686,298,75,307.57
2022-07-29,5b747c0c-b6de-4b41-a3b7-4c00c8fe13ea,Walking,11.59,1604,0.45,573,330,115,84.7
2022-02-27,ea813dcb-297b-43ca-97ea-761940ed7649,Walking,18.6,2262,0.5,638,67,143,22.24
2020-09-03,62c2bbe3-f76f-453b-9c6c-ba7e69707cad,Cycling,6.48,303,1.3,1434,427,108,56.52
2021-09-03,3aef8b75-4d6f-443b-85e2-e8f234ad9617,Running,11.99,1808,0.4,1126,158,112,95.23
2020-11-15,a71080de-c8a2-4b0f-a870-587a69e73803,Running,25.56,2140,0.73,1412,355,64,548.47
2022-09-01,6eabf0a7-1ef5-4659-b8be-d6dbf898fde5,Walking,8.52,438,1.22,649,460,93,44.84
2021-01-09,d3125c95-f8a3-417d-8cff-e34f2947d75e,Walking,15.82,313,3.16,1071,233,77,32.45
