Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
14.81,0.35,877,312,67,712.19
13.06,0.4,583,399,75,434.0
7.4,0.13,649,210,71,354.37
18.1,0.58,1338,47,108,84.14
22.08,1.7,1085,362,114,218.12
27.88,9.29,694,338,146,24.02
8.13,0.17,900,436,61,1037.8
9.15,0.19,1344,482,129,1004.31
3.62,0.2,642,316,123,124.05
9.46,0.22,1500,317,104,806.71
29.83,7.46,1391,278,75,102.17
14.36,4.79,1389,343,139,50.99
25.55,0.45,733,304,135,432.95
2.77,0.92,855,462,148,38.76
11.67,0.21,1019,71,71,212.03
16.85,1.69,862,114,141,34.03
27.99,2.8,614,418,146,86.8
20.35,0.68,753,264,139,203.25
21.5,0.38,1075,223,62,902.33
13.04,0.72,800,255,89,192.54
19.36,0.34,916,48,89,120.71
22.86,3.81,1248,217,90,88.97
20.97,1.61,819,138,133,54.08
6.6,0.37,1138,117,105,100.2
17.7,0.45,549,366,100,355.65
15.22,0.48,1460,250,101,519.38
14.84,0.42,1011,289,116,403.57
29.02,4.15,1066,323,118,100.99
25.52,25.52,1377,348,86,27.8
10.13,0.56,1041,139,85,139.33
25.31,0.54,765,369,96,628.49
7.52,0.17,645,287,120,274.03
21.39,1.65,512,208,140,48.26
21.69,1.81,920,385,113,183.33
21.83,0.49,907,442,111,736.78
20.98,5.25,1117,469,135,76.99
23.06,3.29,1041,242,74,116.91
7.71,0.41,864,362,130,206.81
22.06,0.51,666,327,121,360.09
8.03,0.38,1139,280,85,343.29
28.85,0.49,946,492,103,1210.36
17.5,0.3,837,317,111,606.17
24.57,2.46,842,460,117,162.5
2.07,0.04,1182,177,91,250.62
27.44,0.5,635,240,141,276.94
21.51,0.45,1100,318,84,879.0
2.8,0.08,1286,31,72,51.87
20.83,0.4,696,452,105,697.12
18.56,6.19,754,300,92,36.54
22.15,0.55,1241,102,106,221.47
16.19,0.48,877,3,67,5.73
12.97,0.35,512,313,108,242.82
16.38,0.68,1442,3,66,7.1
24.73,3.09,636,22,103,5.35
3.26,0.07,1173,401,70,774.45
11.07,0.44,1375,160,128,198.58
9.72,0.2,1182,477,83,1268.58
29.26,0.79,737,154,63,303.17
29.86,0.83,655,493,104,527.94
18.29,0.46,1446,111,80,351.15
17.85,0.4,966,132,107,238.08
19.92,1.25,1406,489,95,553.36
12.63,0.31,1149,322,141,479.66
21.29,0.41,1128,375,125,800.5
29.71,0.56,938,253,129,456.41
6.66,0.21,567,6,85,4.96
2.29,0.57,934,185,74,41.93
3.49,0.58,580,305,125,39.83
20.2,0.61,1026,384,123,497.22
25.01,0.86,1499,243,113,445.79
21.46,0.36,1001,172,131,354.18
2.71,0.27,655,474,105,126.14
15.48,0.97,808,82,137,37.19
17.88,0.81,1452,418,87,718.96
22.06,1.1,1321,303,95,403.19
22.64,1.08,1214,438,98,543.05
14.24,0.25,763,350,83,738.41
24.31,6.08,1097,196,142,30.1
9.28,0.49,628,474,119,218.16
19.49,0.34,774,282,102,536.04
25.66,1.6,506,109,130,33.22
10.43,0.19,1290,494,122,1179.32
12.09,0.81,1109,379,100,295.44
25.44,1.41,855,294,96,227.8
20.48,0.44,1428,13,92,41.8
9.97,0.34,1409,281,71,677.32
16.47,0.97,951,305,70,327.65
5.0,0.11,1047,161,80,305.38
16.59,0.61,1132,325,67,665.3
13.19,0.36,878,79,130,88.31
12.4,1.13,672,14,62,7.77
4.67,0.12,1021,196,85,307.42
9.81,0.23,1041,438,62,1161.2
12.77,0.46,1355,357,108,564.86
29.07,0.51,1286,174,138,431.47
10.07,0.21,1488,398,111,1053.28
14.52,4.84,656,280,150,18.24
14.68,4.89,512,406,112,27.61
8.06,0.22,1116,296,74,625.59
28.91,0.58,734,208,113,312.85
27.68,0.84,536,292,96,252.93
29.18,1.27,1491,431,143,502.43
14.04,1.76,772,88,147,18.08
23.01,2.56,577,429,111,98.49
20.06,0.69,897,471,115,502.38
20.23,0.63,1226,441,64,1206.72
29.29,0.81,587,342,118,292.31
13.46,1.22,1307,432,100,299.21
28.52,1.14,957,202,128,182.66
20.81,1.16,1104,84,126,63.83
17.95,0.34,1247,280,138,603.57
26.38,0.5,1206,29,107,78.86
21.97,0.88,1432,13,78,27.77
8.65,0.2,1008,6,150,7.47
13.42,0.64,524,374,74,251.15
7.12,0.13,1431,287,104,789.46
24.08,1.27,1024,117,70,153.62
15.1,0.79,917,173,69,201.27
17.9,0.5,1364,70,141,113.18
14.51,0.5,879,279,148,225.22
12.8,0.28,1067,85,118,152.59
13.49,0.48,1451,475,74,1147.29
15.67,1.12,534,373,125,107.63
26.62,0.62,779,11,147,11.86
8.75,0.23,1395,89,104,187.82
2.83,0.13,870,423,83,329.79
11.82,1.07,1324,441,69,437.75
3.73,0.25,1238,372,135,221.65
3.04,0.11,649,305,77,223.37
15.98,0.8,505,355,140,122.43
10.19,0.23,1149,70,147,105.59
28.66,3.18,1385,155,63,149.81
16.2,0.58,508,413,144,191.98
8.34,0.15,1437,392,93,1239.57
7.15,0.25,1253,22,143,24.18
28.73,1.92,687,130,140,46.86
10.24,0.6,1484,125,131,113.61
27.17,13.59,1334,88,140,8.36
23.02,0.96,558,449,117,245.8
24.73,3.09,1043,216,138,64.57
24.66,2.24,1374,328,92,263.25
28.71,0.62,1386,262,133,596.02
5.07,0.34,1381,459,104,398.14
4.43,0.28,979,355,130,185.94
19.55,0.5,935,112,134,142.17
5.92,0.18,1415,285,87,577.78
3.7,0.31,1410,17,138,9.28
13.36,0.23,788,117,81,260.63
20.03,1.25,1056,405,85,385.01
8.48,0.16,1389,152,143,321.08
2.5,0.13,574,156,76,75.22
22.23,1.48,979,267,83,227.27
23.28,0.39,570,133,125,164.17
17.82,0.56,1481,70,142,109.29
20.53,0.47,801,75,94,125.39
