Date,Activity ID,Type,Distance (km),Duration,Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
2020-08-17,aff94696-8652-48bb-9b95-376969e19d92,Running,22.14,3109,0.43,661,95,114,56.72
2020-08-27,602b0eed-03c5-4cb4-8eea-b00f1ec6e815,Walking,23.08,79,23.08,1234,36,114,0.78
2022-01-19,bc501034-a928-4619-9501-1eb6bf6db8f9,Running,28.26,1043,1.66,1259,59,145,17.44
2021-06-03,7acf3970-536d-4bbd-8c09-355b10047a12,Walking,13.82,1019,0.86,1138,291,128,83.15
2021-11-09,eb17732f-7aa8-44e0-982a-81d69aed73a9,Running,8.76,3597,0.15,707,476,143,274.87
2022-01-13,066a9454-0df3-49dd-8f94-6b8aed718175,Walking,19.48,1438,0.85,1406,332,116,184.44
2021-07-18,713ebef0-929f-412e-885d-8bd65cd0d41d,Running,8.59,2501,0.21,1259,152,67,233.67
2020-08-11,33f952dd-90c6-4892-88e6-bdd7c294ab10,Walking,16.85,2611,0.39,936,221,88,203.12
2021-04-13,f2748e7e-07c9-442a-9d6d-39375e250e53,Cycling,18.41,1154,0.97,1426,247,135,99.04
2021-07-18,0f656325-5d39-4c18-830a-76adf3cdd7b4,Cycling,11.2,1357,0.51,1407,275,140,121.39
2022-04-17,f71f8333-e9ca-479b-a551-20e5bc530f26,Walking,18.09,3173,0.35,1483,96,79,186.29
2022-05-26,58d79940-f966-4cfe-9b7f-ed9e31fc3953,Cycling,20.27,2552,0.48,1494,305,74,520.07
2021-06-27,cc253159-009d-4653-a58e-aa9be6b47d98,Walking,14.94,3422,0.26,958,342,133,283.1
2022-08-28,1734a27a-6cee-493b-bc2b-c2f3b692e120,Walking,6.45,2916,0.13,892,243,115,187.03
2022-02-02,dc130603-73bf-470e-925d-476d926af4e9,Walking,14.68,3278,0.27,1446,67,150,70.23
2021-07-02,d1f0e4db-a620-4e2f-ad08-2ada0f5f747c,Cycling,7.34,1507,0.29,1148,56,94,34.62
2020-10-10,bf3065b6-3ac4-45e8-87f5-f47612d0f82a,Walking,11.03,884,0.79,764,436,76,122.39
2021-11-05,835b2950-ff2b-40df-b92c-22d2a6e2d65f,Cycling,18.27,2046,0.54,1289,384,143,234.22
2021-04-23,84e4aa62-c695-4e0d-a918-3a44620c87bf,Walking,20.98,1344,0.95,1462,258,139,119.86
2020-11-05,2809a52e-b230-4450-953d-d9bce721ac17,Walking,9.24,826,0.71,1203,220,121,56.93
2022-06-13,6f99247d-4b4a-439b-9e8d-607659c45b69,Walking,22.57,2774,0.49,1492,161,82,269.86
2021-12-13,e0dd0ce0-d231-4457-9b7c-d71818218e99,Walking,10.56,2216,0.29,509,371,125,110.02
2022-04-20,55875025-ca43-4393-8ba1-c30e55b9a19e,Walking,10.77,2344,0.28,1096,44,133,27.89
2021-04-10,a1e12921-bd6c-4c65-801c-99cec0a1fcf8,Running,17.76,321,3.55,1466,332,138,35.29
2020-11-18,fec599b1-dc87-4b35-b46e-899156d15d46,Cycling,23.82,1394,1.04,857,326,63,203.14
2022-07-28,86291d0c-20ab-497a-9d12-396d0c42e9d9,Walking,23.08,2834,0.49,937,476,138,304.46
2021-07-04,1ae64436-442a-4c95-ad02-95ce6c0871d4,Cycling,4.72,2663,0.11,1348,121,137,102.17
2021-03-08,84f7ca5e-9018-42d1-837e-6b9ab564bae1,Walking,26.55,811,2.04,1252,93,85,35.66
2020-11-30,f645163d-f8d7-48c2-85b3-77e029de5413,Walking,19.18,2189,0.53,711,403,115,180.33
2022-05-16,5064999d-25a2-4fb2-bf15-1c7e025b9bd0,Running,4.5,789,0.35,1284,393,72,180.22
2022-05-31,80f903b2-82f2-428a-a037-df3e6b4781c8,Walking,7.26,3142,0.14,1169,43,130,40.1
2022-08-03,88b27929-c476-4697-b15b-cf3e0630f99c,Walking,2.24,1628,0.08,552,75,71,32.65
2021-07-23,bbfae36d-6b78-4c47-a430-0ac77b339253,Walking,25.83,1425,1.12,1304,105,110,57.41
2020-08-15,2ba16fdd-1b5e-49c0-b626-db961a631edc,Walking,23.71,1546,0.95,1155,128,122,60.49
2022-01-01,8781afbf-bcf8-4c45-942a-32f3f30d8fb3,Walking,17.24,1242,0.86,1352,276,85,176.01
2022-04-23,72114bec-0e8f-411c-b52e-7ae324c887a8,Running,29.96,1619,1.15,663,371,112,114.43
2020-11-15,4dc6598c-e5ca-4736-9288-b41c0e8b8dd8,Walking,15.7,2362,0.4,965,69,145,36.05
2020-11-24,e652d3a2-3199-4373-b58a-4868c15c658d,Walking,10.5,3532,0.18,1074,423,111,477.49
2021-08-06,31561f77-1f9c-4abb-9bd5-875d2aa6f47c,Walking,18.42,2050,0.54,794,495,125,214.51
2022-01-14,7c5f0f55-2dd2-45d3-8c5c-164ec18a3bf9,Running,26.57,1896,0.86,946,178,97,107.27
2021-06-27,162e2a18-256f-451e-93f4-0e4acfb88c47,Walking,12.7,2858,0.27,710,429,69,415.28
2022-08-07,ed79b493-ec11-470b-a3be-0cd3a13dd868,Running,8.01,2363,0.21,597,164,111,67.29
2021-04-28,39390449-4920-4514-a79c-682f8cf52d71,Walking,2.08,2775,0.05,582,306,120,123.48
2022-06-13,e7d41641-cd76-4d71-b246-3eb1f1967150,Walking,24.35,1408,1.06,1184,94,80,63.92
2022-06-04,398e3a00-230a-43d3-a2fa-e10b82662ac6,Cycling,26.95,1053,1.59,663,134,118,25.52
2022-07-24,8e6d5f5a-45c0-409e-87d9-b12c4d710e69,Cycling,11.17,871,0.8,1254,499,68,256.97
2022-08-08,8008afc7-eb5b-41ec-850f-ddac2c295ab3,Running,5.8,2294,0.15,600,386,100,179.1
2021-07-13,c5ef04ff-87c4-4f2c-87f5-bf170bcb68b3,Walking,23.82,570,2.65,1210,76,70,23.62
2021-11-18,77bee90b-666a-4439-af30-44acc22af7b4,Running,16.65,2126,0.48,782,224,116,104.76
2021-09-30,f6f90e43-a365-4c0a-922d-c9e365890211,Cycling,6.42,2299,0.17,1342,296,118,254.26
