Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
21.04,0.49,929,151,113,106.61
16.32,0.3,807,118,67,154.64
18.47,0.74,1300,499,80,404.78
11.43,0.22,679,471,64,519.24
9.21,0.21,1202,290,144,212.33
17.85,0.74,1405,339,94,244.45
17.22,0.91,1118,403,131,130.17
7.4,0.25,1457,56,67,72.09
22.66,0.4,631,368,75,350.79
17.2,0.34,525,90,75,63.74
28.62,5.72,1006,469,105,44.97
8.87,0.29,1355,105,148,58.81
2.2,0.11,1434,178,74,137.97
2.57,0.29,1442,483,122,101.19
15.71,0.34,1445,301,100,401.94
12.36,1.12,1106,38,114,8.14
26.25,26.25,903,175,77,4.1
14.36,0.33,1276,198,114,192.88
21.44,0.38,686,298,75,307.57
11.59,0.45,573,330,115,84.7
18.6,0.5,638,67,143,22.24
6.48,1.3,1434,427,108,56.52
11.99,0.4,1126,158,112,95.23
25.56,0.73,1412,355,64,548.47
8.52,1.22,649,460,93,44.84
15.82,3.16,1071,233,77,32.45
6.49,0.41,1461,147,140,48.57
21.71,0.64,697,178,70,120.24
25.13,2.28,500,460,146,34.73
18.74,0.65,1400,17,102,13.45
11.3,0.34,549,172,108,58.12
20.19,1.55,960,235,84,69.97
3.18,1.59,1268,204,101,10.24
13.21,0.83,1385,54,140,17.0
11.42,0.46,1098,401,139,157.28
29.79,0.83,1334,320,133,230.4
20.19,0.43,1165,313,69,496.27
2.03,0.04,816,266,108,203.99
16.7,1.86,997,246,118,37.32
21.02,2.34,777,372,140,37.09
27.48,0.74,972,194,121,115.74
5.54,0.17,912,488,103,281.62
7.46,0.17,689,431,132,197.44
12.6,0.23,691,319,82,294.53
16.8,0.39,1040,92,68,121.22
27.53,0.64,668,268,72,213.91
26.93,5.39,617,211,64,20.33
13.59,6.8,805,200,78,8.25
22.91,0.43,1018,22,136,17.55
21.97,1.37,1007,376,124,97.93
13.51,0.79,1308,371,105,158.07
22.72,1.26,1356,425,112,185.57
20.63,0.63,1388,303,88,313.0
14.67,0.27,1349,295,137,315.65
17.5,0.41,1123,350,99,338.92
29.0,0.74,1206,158,97,153.97
20.77,1.22,512,340,61,97.17
22.66,1.19,1254,338,119,135.65
8.56,0.32,1015,182,83,119.07
16.48,16.48,1423,252,67,10.7
19.35,0.34,835,300,117,243.7
23.06,0.92,753,64,123,19.64
5.38,0.15,667,230,86,127.96
6.57,0.16,1414,265,97,317.25
15.24,0.31,504,438,92,235.92
11.68,1.46,1308,71,109,13.63
5.57,0.14,1219,300,130,223.84
21.48,21.48,529,11,103,0.11
7.47,0.83,1161,141,145,20.32
14.29,1.19,1257,208,94,66.8
19.7,0.43,1347,112,147,94.04
8.86,1.11,1438,345,63,125.71
9.12,0.33,1303,338,83,293.29
7.14,0.51,852,96,128,17.89
6.69,0.12,1282,137,136,143.99
11.95,0.21,1190,352,94,507.15
29.34,1.05,523,127,136,27.29
23.79,23.79,821,187,149,2.06
21.59,1.2,1381,449,142,157.13
2.72,0.34,658,8,147,0.57
16.71,0.33,972,298,83,353.42
27.36,0.94,738,341,120,122.08
2.32,0.18,1396,285,140,73.26
7.83,0.6,714,434,149,54.28
27.28,3.03,1323,53,150,8.42
5.77,0.11,1276,19,86,29.57
17.55,0.55,871,432,99,242.56
17.77,1.27,935,421,79,139.44
11.43,0.54,1098,1,97,0.48
24.37,0.5,939,63,148,38.96
12.12,0.61,1476,186,120,90.91
7.82,0.31,517,353,75,122.77
11.96,0.25,647,248,148,103.73
29.07,0.61,905,247,70,304.36
7.46,0.18,1009,143,102,117.25
21.72,1.97,762,466,122,64.18
28.87,0.8,1398,448,145,311.75
20.17,0.49,701,225,117,110.98
24.22,1.1,853,14,121,4.35
2.73,0.06,1448,224,117,252.27
26.53,0.58,581,476,128,197.66
18.02,0.86,1026,339,92,158.43
4.99,0.42,629,54,96,8.41
9.41,0.22,1029,100,72,122.26
20.42,0.44,1065,374,119,310.68
26.96,0.55,867,317,135,199.59
13.33,0.32,643,103,132,41.8
13.06,0.24,1400,155,133,177.57
2.08,0.14,858,374,101,94.41
28.27,1.88,1407,20,126,6.72
14.24,0.25,916,418,107,407.65
3.28,0.06,621,195,126,105.08
22.4,0.86,1448,387,79,369.51
2.09,0.06,1097,211,107,150.71
3.65,0.07,1090,18,94,21.77
21.48,0.61,1340,158,92,162.07
22.46,0.43,1127,93,98,111.73
5.71,0.32,1122,470,89,211.45
26.2,2.38,501,421,139,33.41
20.22,0.96,677,169,73,66.02
9.47,0.16,664,142,66,169.11
20.1,0.35,868,231,81,284.32
7.35,0.17,562,183,113,78.7
14.44,1.44,558,60,90,7.46
6.6,0.66,647,275,113,31.49
21.33,1.42,582,448,104,75.32
16.44,0.51,653,142,112,53.38
16.84,0.7,706,15,81,6.29
6.86,0.2,710,471,137,167.45
6.74,0.13,707,448,74,443.83
27.6,0.6,1313,307,126,294.32
19.61,0.36,1133,500,95,649.65
24.76,0.62,694,352,136,143.47
13.51,0.52,638,313,130,79.82
27.51,0.54,930,382,90,402.19
4.32,0.11,1423,403,139,324.05
17.08,1.42,1493,194,79,88.2
18.03,0.5,1421,122,69,181.2
23.26,0.42,1239,445,148,412.63
25.87,0.49,713,322,127,190.89
28.97,0.51,746,229,113,171.75
20.81,0.63,816,134,63,114.66
28.14,1.04,712,268,105,98.34
20.61,1.72,721,380,143,45.92
20.23,1.01,1294,171,68,130.35
6.55,0.55,750,231,137,30.12
19.32,0.97,552,211,139,33.38
14.39,14.39,735,331,130,3.74
6.53,0.11,1372,477,60,1295.01
21.95,0.52,1210,158,89,181.35
18.35,0.76,1033,237,68,173.86
16.24,0.9,1173,351,128,116.08
14.82,14.82,569,76,123,0.7
20.12,1.06,863,160,127,41.27
22.39,0.44,1153,18,146,14.47
2.29,0.07,1199,33,100,25.89
7.99,0.15,1093,11,94,13.63
23.16,0.43,1121,326,92,427.89
20.08,1.83,1117,434,145,73.37
29.95,1.43,636,270,75,95.91
3.81,0.2,734,149,113,36.87
3.04,0.19,1138,64,103,22.63
26.21,0.5,745,237,91,203.42
24.01,1.6,1030,311,116,82.88
20.8,0.36,1382,229,139,263.1
7.3,0.37,984,117,102,44.54
19.09,0.32,1483,282,137,364.21
16.8,0.31,1130,495,87,696.85
5.0,5.0,848,377,109,5.87
6.54,0.27,1070,384,148,134.49
9.09,0.53,1155,225,116,76.85
21.85,0.48,1369,84,147,71.22
3.47,0.13,588,43,135,10.0
19.03,0.32,1358,375,69,877.81
13.37,0.42,549,330,103,111.99
6.16,0.16,1259,168,95,171.44
28.69,0.5,876,84,89,94.88
22.56,2.82,1017,157,129,19.8
20.75,0.49,1076,253,99,232.89
20.95,2.99,716,54,75,7.22
4.63,0.13,1004,185,135,98.0
14.37,2.05,780,41,101,4.44
12.86,0.68,1240,129,98,61.74
2.44,0.07,700,189,78,118.25
17.78,0.46,1054,115,90,104.11
28.31,0.56,1350,221,72,418.96
26.16,0.48,854,30,118,23.67
2.27,0.05,710,242,71,219.74
25.7,1.12,1211,126,143,48.97
18.85,0.45,1285,75,119,67.85
16.71,5.57,845,297,80,18.82
22.14,0.54,994,423,148,232.96
12.88,0.39,822,247,122,109.92
19.34,1.14,645,67,74,19.81
24.63,0.5,529,227,73,162.06
17.84,0.46,612,8,122,3.11
11.5,2.88,873,116,113,7.16
6.03,0.27,575,439,150,75.17
17.69,4.42,872,48,144,2.33
10.24,0.17,969,76,100,88.72
6.74,0.21,622,51,118,17.26
15.72,0.29,906,372,138,264.77
9.41,0.19,1306,210,120,226.38
28.19,0.66,839,473,69,491.31
18.04,0.67,1395,138,149,69.58
10.52,0.21,1195,215,87,295.88
5.33,0.11,741,2,60,2.39
20.73,0.94,783,55,97,19.58
29.18,9.73,1210,482,126,27.76
24.04,0.42,864,359,71,500.11
14.87,0.36,1003,175,109,133.03
8.48,0.16,825,377,67,492.07
20.9,0.58,862,462,97,295.89
22.87,0.99,1194,375,95,217.76
10.76,0.2,929,179,137,130.61
4.98,0.23,1198,294,134,113.82
7.54,0.13,566,52,137,24.92
23.4,0.45,1480,384,129,458.18
23.0,4.6,976,436,137,31.06
29.07,1.12,518,194,119,43.84
19.39,0.37,726,412,112,279.91
19.26,0.47,832,8,62,8.8
4.37,0.17,756,95,120,30.77
13.23,13.23,735,10,134,0.11
12.52,0.52,598,387,94,118.55
2.55,0.09,1462,293,140,173.39
15.68,7.84,1160,195,129,7.01
20.66,0.71,1187,117,101,80.02
25.19,0.9,1495,145,68,178.45
23.57,1.12,652,210,118,48.84
2.73,0.08,1106,31,108,21.67
22.76,0.39,1412,33,138,39.41
10.88,1.36,1140,158,109,26.44
4.91,0.11,1341,428,149,343.88
22.9,0.85,975,371,71,274.52
6.16,6.16,1377,418,108,10.66
27.96,1.17,1299,109,61,110.94
19.77,0.49,1118,435,106,370.23
17.74,0.39,1230,453,147,344.83
18.38,0.47,823,443,89,320.4
14.79,1.48,615,275,81,41.73
14.32,0.51,1270,422,136,221.3
20.42,0.35,1365,414,81,814.08
29.15,1.04,1422,420,91,367.91
28.78,2.06,674,177,129,25.84
22.35,0.75,578,317,61,179.02
17.17,0.51,1102,173,74,173.47
7.41,0.15,1426,459,126,513.24
12.26,0.38,1092,138,81,120.05
4.41,0.18,866,215,118,77.32
27.42,2.74,714,3,80,0.54
14.2,0.84,1236,168,95,73.9
27.4,0.7,505,69,145,18.81
12.0,0.63,1495,44,106,23.64
11.82,0.2,1063,187,93,252.64
29.21,1.95,934,401,149,75.31
11.64,0.24,1219,142,67,250.6
16.43,0.29,1040,454,127,421.26
19.95,19.95,653,79,145,0.71
13.07,0.41,866,363,61,328.56
17.8,0.38,1034,277,120,223.61
29.67,9.89,1229,154,60,18.93
11.0,0.35,1339,484,96,424.34
16.41,0.51,1284,498,144,285.76
10.64,0.19,1420,304,91,531.3
10.57,0.81,609,171,78,34.84
11.56,0.48,542,69,63,28.59
4.46,0.09,1213,11,129,10.25
28.5,0.59,1411,406,96,576.51
3.35,0.28,950,372,147,57.53
7.32,0.14,534,194,112,96.72
20.85,0.43,1338,495,133,482.92
26.37,1.47,1205,495,75,285.33
24.74,0.8,636,487,96,199.55
12.42,1.24,1074,110,145,16.32
9.11,2.28,855,349,101,23.61
5.74,0.16,1379,246,123,197.89
23.33,0.67,907,75,66,71.78
29.55,0.64,699,391,123,205.19
25.85,0.62,1330,407,143,315.65
7.25,0.15,970,246,89,259.18
17.47,0.97,661,245,89,65.54
20.97,0.36,1209,180,128,198.07
23.61,1.07,1313,89,123,41.93
4.79,0.34,1335,497,124,150.77
10.56,0.33,512,237,124,62.63
29.53,0.51,589,201,128,107.11
20.86,0.95,626,411,103,109.7
25.53,2.13,500,236,122,23.19
4.67,0.15,564,221,109,71.2
22.94,0.4,1170,351,141,334.07
17.95,0.33,1339,178,136,190.65
16.15,0.73,989,379,106,156.46
13.27,0.53,942,178,91,92.27
9.18,0.16,1165,300,63,636.59
11.7,0.33,867,89,126,43.43
19.7,0.64,736,193,138,63.37
23.97,1.41,1219,481,131,152.18
17.49,0.41,1282,39,76,56.13
28.53,0.7,1242,101,145,70.52
12.59,0.31,760,408,76,331.4
8.15,4.08,686,33,122,0.74
29.92,0.51,1018,443,73,724.85
17.07,0.34,1002,367,95,388.68
24.76,1.24,1082,312,95,141.91
21.77,0.49,579,248,141,90.49
11.16,0.29,1322,258,92,285.34
25.73,0.68,1243,232,110,198.39
4.8,0.32,1033,274,80,106.14
8.23,1.37,885,158,111,15.14
23.12,0.96,1195,61,119,29.51
28.13,0.52,767,431,88,406.43
2.57,0.09,982,195,145,75.42
14.25,0.25,1230,452,82,772.92
8.82,0.4,787,64,76,29.23
4.09,0.09,1285,62,127,57.02
25.64,0.61,503,28,73,16.22
17.24,0.56,1433,227,63,317.91
9.06,0.27,1023,107,93,78.99
5.16,0.09,853,274,65,412.31
12.62,1.8,1218,401,135,50.73
26.36,0.66,1327,138,106,138.0
25.79,0.83,1341,400,91,366.31
4.56,0.38,945,425,137,70.36
14.93,4.98,1466,40,124,2.84
26.63,1.27,671,332,126,74.15
25.01,0.66,857,336,79,276.24
4.33,0.08,544,28,97,17.0
8.52,0.5,1088,132,115,42.56
13.47,0.31,1328,198,93,245.71
14.15,0.33,875,162,140,86.83
25.55,1.97,834,84,145,12.53
11.32,0.34,1044,468,127,256.18
15.71,0.49,980,199,91,137.42
3.72,0.18,1116,124,107,53.46
21.46,1.13,1226,210,129,75.81
22.42,2.04,844,373,107,64.67
4.32,1.08,1098,425,100,37.33
28.77,3.2,777,408,119,47.9
13.75,0.57,1015,309,100,151.32
18.22,0.49,1221,298,132,204.99
28.81,0.93,522,242,90,86.96
16.27,0.68,1437,265,136,133.99
5.8,0.19,1235,147,102,108.66
14.99,0.88,1323,32,78,18.49
29.64,1.29,829,75,111,25.74
6.05,0.3,734,251,147,50.55
10.11,0.19,1248,80,139,76.44
20.63,0.4,1008,6,75,8.32
21.35,0.55,649,82,91,45.4
14.02,0.38,1352,182,72,252.18
10.31,1.03,1242,192,134,35.63
5.92,0.14,1355,371,64,664.29
8.39,0.2,1115,189,95,186.11
23.01,3.84,589,70,110,4.49
27.77,1.21,666,124,109,34.78
5.5,0.15,905,293,62,313.64
4.46,0.15,1408,69,143,40.4
8.23,0.24,936,313,119,168.85
9.94,0.22,1350,460,119,471.56
9.35,0.85,1006,393,137,63.49
6.62,0.19,810,156,106,83.07
19.11,0.96,767,251,89,86.12
13.64,0.59,963,343,114,133.97
17.92,0.44,1426,70,137,59.35
17.35,0.42,1355,432,122,396.41
14.67,7.34,1072,270,130,8.9
25.0,1.47,788,486,101,128.97
22.8,0.41,799,193,104,164.91
19.13,0.83,1259,207,80,150.17
12.45,0.48,606,150,127,37.13
3.95,0.44,589,191,89,22.7
4.47,0.13,844,489,83,341.95
17.03,0.45,1460,184,91,223.44
21.74,0.81,1352,458,79,420.75
28.79,1.07,1123,105,72,88.13
23.15,0.44,749,37,150,19.44
10.25,2.05,847,306,101,25.66
17.2,1.08,970,106,83,39.46
22.3,1.12,534,288,126,48.6
2.15,0.06,1219,28,105,23.3
9.8,0.7,775,381,147,56.24
2.63,0.06,1293,231,103,254.22
9.16,1.53,1199,378,66,82.22
17.8,0.35,515,425,97,229.51
6.32,0.16,504,275,116,94.39
12.64,0.4,1401,265,111,211.39
20.73,0.65,789,271,127,107.39
15.98,1.0,934,40,114,10.47
10.05,0.29,601,37,70,22.02
19.24,1.6,1254,117,98,36.01
23.38,0.94,1443,209,62,241.97
12.1,0.26,1496,433,66,913.52
12.52,0.37,1130,265,81,250.19
11.91,0.29,638,448,114,205.94
9.6,9.6,1012,405,105,7.81
22.05,0.61,698,256,67,192.81
21.85,0.4,665,91,121,54.64
20.37,2.26,1273,79,97,18.69
28.76,1.31,1346,87,64,80.34
24.83,4.14,627,13,87,1.12
27.78,1.46,722,77,114,18.56
9.78,0.21,625,124,126,57.29
28.57,0.99,1332,85,113,57.83
2.44,0.07,1445,122,93,132.15
27.07,13.54,1006,360,66,21.94
26.94,0.84,887,392,134,166.44
3.86,1.29,1214,178,106,12.2
9.68,1.21,757,57,71,9.72
22.95,1.43,732,25,99,5.93
5.99,0.46,1346,439,119,129.32
28.71,3.59,1200,357,81,84.59
6.61,0.26,975,54,110,24.34
12.17,0.37,873,174,121,82.58
10.15,0.3,1253,382,107,302.7
13.68,1.37,1065,55,129,9.07
19.46,1.77,588,199,66,38.98
24.83,1.91,1151,395,113,104.61
2.66,0.06,562,105,94,55.66
11.98,1.71,1184,146,113,21.43
20.93,0.4,542,392,110,202.13
3.39,0.12,893,292,150,98.22
4.09,0.08,1167,218,101,257.55
22.75,4.55,849,164,60,23.21
27.88,3.98,1471,67,140,9.86
25.21,0.43,920,485,89,587.86
7.02,0.28,1480,224,134,124.05
21.4,0.48,760,152,91,113.19
13.32,0.67,777,435,111,121.07
14.53,0.31,554,3,93,1.68
4.67,0.09,1301,153,136,151.89
29.72,0.56,1060,315,145,244.42
9.33,0.55,608,220,147,30.87
6.56,1.64,1286,240,132,18.71
23.07,1.44,685,65,83,17.19
7.59,0.19,893,267,98,194.38
6.12,0.44,516,393,89,63.38
24.79,2.07,984,390,108,85.11
4.43,0.12,1274,49,143,32.23
9.16,0.19,1458,326,73,627.8
23.28,3.33,1350,34,110,5.83
9.18,0.61,1055,385,61,200.41
28.17,9.39,868,430,108,20.74
25.18,0.7,519,321,73,164.19
4.24,0.85,1225,255,140,22.26
11.73,0.62,1465,397,130,169.29
11.06,0.34,1032,139,118,79.09
15.93,0.33,1403,380,71,724.96
27.61,0.84,1070,364,69,371.07
25.47,2.83,613,201,144,15.4
29.63,0.66,1237,343,136,280.12
