Date,Activity ID,Type,Distance (km),Duration,Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
2021-11-17,863c0437-ca08-4665-9cfc-e5076aa978d4,Walking,25.92,304,5.18,988,377,62,203.16
2022-04-05,dbfc25a5-05a2-4607-8ef9-e7f7d2a9260c,Cycling,2.92,3260,0.05,1282,344,71,1.58
2021-06-11,d12aa6c7-fb9d-46e5-a5bb-19b3f77aa95b,Walking,17.21,151,8.61,1049,385,111,583.08
2021-02-24,d55130bf-ef53-4a02-a805-6619b4c19eea,Running,6.64,1247,0.33,1308,49,84,1.7
2021-11-05,66b326cb-5107-48aa-a460-bdf87e2c86c5,Walking,18.75,2330,0.49,1134,187,114,15.27
2020-12-19,4ff446ce-5f9f-4405-85a9-6a864004191a,Running,14.23,2366,0.36,1426,193,124,10.02
2021-01-06,b63b9405-2f40-4c8d-b00a-8d84709c09a8,Cycling,27.93,1360,1.27,1224,151,99,25.68
2022-04-10,cc4edf12-7363-4cce-8352-a96b2e010edc,Other,16.35,566,1.82,1260,433,116,120.64
2022-06-14,eddbd4a1-c011-4ca4-a1e3-5afcc4c06fef,Walking,18.3,2218,0.51,639,365,64,30.9
2022-07-12,6db4b070-de7e-4c72-bee2-15fa80c61bdb,Other,24.83,1563,0.96,654,268,108,70.55
2022-03-10,5c2668a2-fb42-4184-b96c-0ec5d2902839,Walking,27.3,61,27.3,1219,262,90,876.78
2020-11-28,c8cc3ddf-31f3-4cc1-b202-f51069104a28,Walking,27.87,2166,0.77,1425,23,118,2.23
2022-06-21,1d5ead5b-d1ff-478c-84db-6efa03c3fbcd,Cycling,13.9,1599,0.53,1161,192,133,19.43
2022-03-13,c10ac789-1545-4064-baa6-773700c25b2e,Running,7.74,1163,0.41,531,401,69,35.43
2020-09-14,d0ad4718-ddeb-434a-9415-7d2223fbc757,Walking,25.28,2660,0.57,1211,415,102,33.13
2022-04-25,8f0da8a7-0654-41d4-a4c9-42e68ff7be9f,Walking,26.81,2317,0.71,1330,400,86,30.53
2022-03-04,fb50fd93-0020-4fee-8617-1809cc7d9850,Other,16.73,3300,0.3,589,289,111,27.14
2021-07-27,6dd9802f-d173-4f4d-bfad-bd5e86afd634,Cycling,5.51,2592,0.13,1073,439,114,10.08
2021-02-04,db0a235f-d874-42f1-a4bf-aa62c6fc7fc2,Other,19.13,1814,0.64,1159,378,124,43.14
2020-09-01,979cc405-fba2-4840-8e51-e870b08783be,Cycling,23.8,1870,0.77,844,479,79,57.3
2021-03-12,3fae515a-5b3d-4984-a945-811e8abc6e74,Cycling,26.39,3209,0.5,1096,392,108,32.03
2020-09-03,fca741d5-3035-4db5-9c9a-62ff26c2e835,Other,7.68,3052,0.15,1477,458,99,7.64
2022-07-22,e394b312-6ee3-4e59-a7d3-dbfa3764e792,Walking,18.11,3121,0.35,937,147,128,11.71
2020-11-20,ec936d7b-434b-4608-9737-e5fbc5fe2023,Other,19.0,1120,1.06,1455,303,143,52.61
2020-11-08,d3da1dcb-54a4-4be1-9094-4d0bb8e2e6c0,Other,17.14,613,1.71,955,111,75,24.84
2021-01-14,3876fc4a-11ad-41f2-b9b0-a68258b122ac,Cycling,8.4,1042,0.49,1320,407,113,28.31
2022-05-09,f3732b20-e8ae-46ae-a5c4-2020614813ba,Running,17.61,352,3.52,1382,49,78,15.89
2021-03-26,56a4f75a-b894-44e0-80ab-df11b1b3b975,Other,29.32,1309,1.4,756,264,71,57.85
