Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
25.92,5.18,988,377,62,203.16
2.92,0.05,1282,344,71,1.58
17.21,8.61,1049,385,111,583.08
6.64,0.33,1308,49,84,1.7
18.75,0.49,1134,187,114,15.27
14.23,0.36,1426,193,124,10.02
27.93,1.27,1224,151,99,25.68
16.35,1.82,1260,433,116,120.64
18.3,0.51,639,365,64,30.9
24.83,0.96,654,268,108,70.55
27.3,27.3,1219,262,90,876.78
27.87,0.77,1425,23,118,2.23
13.9,0.53,1161,192,133,19.43
7.74,0.41,531,401,69,35.43
25.28,0.57,1211,415,102,33.13
26.81,0.71,1330,400,86,30.53
16.73,0.3,589,289,111,27.14
5.51,0.13,1073,439,114,10.08
19.13,0.64,1159,378,124,43.14
23.8,0.77,844,479,79,57.3
26.39,0.5,1096,392,108,32.03
7.68,0.15,1477,458,99,7.64
18.11,0.35,937,147,128,11.71
19.0,1.06,1455,303,143,52.61
17.14,1.71,955,111,75,24.84
8.4,0.49,1320,407,113,28.31
17.61,3.52,1382,49,78,15.89
29.32,1.4,756,264,71,57.85
3.69,0.09,621,496,111,13.27
10.15,0.27,1018,253,137,15.26
29.08,0.69,575,174,126,43.85
26.04,1.13,1020,353,63,40.83
19.89,0.66,885,137,99,16.61
21.92,4.38,916,125,61,59.79
18.71,0.39,764,93,74,5.86
29.06,0.55,648,211,124,36.84
13.78,1.97,1241,298,118,92.72
26.33,0.68,1329,266,75,16.88
3.8,0.17,1125,138,128,4.45
8.43,0.19,577,95,87,4.44
3.6,0.1,519,215,125,8.55
2.33,0.09,1122,226,72,2.17
4.69,0.14,1212,455,138,12.04
7.35,0.13,531,93,133,5.05
17.2,1.56,1303,286,120,68.24
20.41,0.66,848,351,148,67.39
23.2,2.11,1454,395,70,66.54
29.1,14.55,1127,400,101,867.13
24.58,0.59,541,321,105,61.26
12.14,0.28,1249,166,90,5.55
7.93,2.64,989,354,117,184.27
3.82,0.1,1083,475,121,8.83
15.82,1.13,1333,147,150,31.15
21.43,0.74,707,453,117,92.46
23.16,0.63,1269,308,96,24.31
10.37,3.46,776,409,130,394.15
9.49,0.43,713,156,144,22.58
9.49,0.17,945,176,97,5.06
24.87,0.92,1437,199,74,15.63
19.79,0.38,707,497,140,62.08
12.93,0.65,611,229,65,26.28
25.5,0.73,803,53,133,10.28
28.21,0.85,707,337,111,74.73
2.25,0.09,1121,317,104,4.38
6.13,0.19,1373,28,127,0.79
16.2,0.65,658,27,132,5.87
4.45,0.22,1342,271,64,4.72
29.85,0.96,1245,394,79,39.9
21.56,0.94,1170,289,81,31.24
22.27,0.51,824,174,123,22.08
8.32,0.21,1450,478,90,10.36
12.53,0.25,805,154,61,4.83
22.46,1.18,776,368,125,115.95
11.65,0.22,519,445,144,45.17
6.32,0.29,1041,371,75,12.85
27.7,1.32,619,404,89,127.16
22.55,0.87,571,166,114,47.77
8.42,0.19,1058,100,70,2.07
6.12,1.53,930,425,87,100.91
7.98,0.3,1314,360,129,17.67
26.69,1.78,975,42,109,13.93
21.36,0.36,1148,151,91,7.13
19.04,0.37,1253,174,148,12.67
2.33,0.21,1037,287,81,7.79
9.3,3.1,1212,277,131,154.13
2.31,0.13,1338,194,115,3.58
15.31,0.4,638,227,125,29.39
25.34,1.95,530,231,94,133.15
23.26,0.48,843,159,91,13.73
26.38,0.82,1446,351,93,30.85
24.45,0.44,1246,19,65,0.69
19.52,2.17,1114,279,66,59.78
10.29,0.49,1398,62,117,4.1
6.11,0.11,1193,39,77,0.46
15.8,0.54,998,159,150,21.51
5.75,0.19,1464,451,79,7.69
12.66,1.58,1321,244,81,39.24
4.77,0.12,1153,371,61,3.9
28.99,0.53,749,421,123,60.93
22.55,0.54,1037,8,111,0.58
26.51,0.58,1270,240,86,15.71
20.15,0.48,867,31,112,3.1
27.63,0.49,874,357,111,37.03
18.38,0.63,647,284,95,43.48
7.37,0.25,824,482,140,33.98
18.97,0.45,569,133,120,20.88
5.66,0.2,863,188,91,6.54
15.92,3.98,689,452,131,567.54
5.01,0.11,1498,357,112,4.89
20.83,1.1,600,482,97,142.27
6.18,0.36,1027,103,144,8.58
8.9,0.31,870,275,60,9.73
11.43,0.38,1300,90,83,3.64
5.23,0.52,1173,258,116,22.11
19.46,0.45,1228,261,68,10.84
22.9,0.76,889,133,96,18.06
12.07,1.51,1116,209,74,34.54
12.28,0.28,1156,394,72,11.42
21.38,0.89,576,410,95,99.82
4.21,0.09,1151,124,94,1.51
28.73,0.67,530,232,142,69.11
10.26,0.41,1115,235,65,9.32
17.22,0.54,794,154,148,25.67
24.47,1.17,743,75,103,20.27
25.89,0.78,673,86,129,20.93
15.48,0.34,1126,193,100,9.66
20.63,0.49,1462,107,61,3.58
25.72,2.34,914,301,99,126.73
24.08,1.27,1197,168,83,24.66
10.9,0.24,1236,398,136,17.43
10.71,0.3,1071,63,141,4.15
25.63,0.55,1150,454,81,29.25
15.64,0.34,1410,96,81,3.13
22.99,1.44,1234,270,112,58.81
2.37,0.08,610,335,80,5.82
22.0,2.44,1026,225,115,102.56
3.18,0.07,1138,458,111,5.19
5.14,0.11,1377,68,127,1.12
12.03,0.55,721,500,136,86.11
21.96,5.49,1040,348,146,447.01
6.11,0.15,1198,459,95,9.1
5.28,0.1,1439,34,63,0.24
11.04,0.31,569,402,114,41.61
11.07,0.28,909,33,84,1.42
13.99,0.52,1150,91,115,7.8
2.1,0.05,995,53,83,0.35
25.86,1.23,926,144,91,29.01
23.13,1.93,962,291,90,87.57
13.31,0.42,1202,181,79,8.28
27.5,0.67,972,344,123,48.33
12.3,4.1,626,101,121,130.76
17.14,0.31,1460,323,125,14.2
10.95,0.3,1087,369,88,14.94
20.32,2.54,1182,173,66,40.42
21.37,0.5,1071,74,139,7.79
22.07,0.96,1032,130,120,24.0
7.57,0.15,870,83,60,1.4
3.45,0.14,525,368,92,14.97
16.87,0.7,764,13,121,2.22
6.53,0.73,943,125,106,16.82
5.83,0.28,703,190,95,11.92
25.95,0.89,854,191,93,30.53
28.6,2.38,864,272,84,104.12
3.34,0.84,1091,61,96,7.39
24.27,1.16,862,419,109,101.94
28.71,1.69,722,303,77,91.02
20.95,0.87,541,267,145,103.76
9.35,0.2,1343,139,82,2.81
24.0,0.56,642,476,92,63.4
25.19,0.43,1246,218,118,14.66
27.27,0.62,747,454,104,65.17
7.47,0.27,733,317,132,25.53
23.13,0.72,650,320,134,78.67
22.64,1.33,1043,266,63,35.35
28.1,0.51,1210,333,69,16.14
20.46,0.39,1040,368,87,19.9
16.33,0.34,954,371,138,30.25
4.09,0.2,1439,82,147,2.76
20.8,0.5,712,70,133,10.74
13.32,0.83,1290,13,123,1.58
14.38,1.8,1451,324,71,47.56
29.08,1.38,1352,333,67,37.96
16.48,0.35,713,416,119,40.31
2.42,0.11,1123,435,78,5.54
5.93,0.11,1150,227,139,4.99
9.44,0.47,1158,78,134,7.07
21.29,0.93,839,10,113,1.88
12.63,0.24,882,165,84,6.29
19.94,0.66,1048,324,131,44.55
11.47,0.42,1158,228,85,11.72
4.37,2.19,1089,338,81,91.22
9.66,0.28,1464,253,138,11.09
23.36,3.89,949,186,86,109.28
4.28,0.08,1077,457,140,7.9
14.76,0.4,1111,37,126,2.72
14.68,0.86,828,177,144,44.12
20.28,1.45,812,110,92,29.57
14.54,0.3,1183,408,147,25.35
28.85,0.8,1151,149,100,17.03
28.81,5.76,1399,460,141,444.1
26.86,1.22,908,350,100,77.93
24.56,12.28,1493,402,136,749.47
12.18,0.45,833,90,137,11.1
26.48,0.51,1068,41,108,3.35
6.91,0.14,1048,134,114,3.35
23.52,0.5,728,172,71,13.9
27.97,1.22,751,463,146,182.63
12.31,4.1,770,494,101,440.99
27.47,0.78,1495,354,72,22.16
5.29,0.14,1016,227,114,5.89
22.23,1.71,1105,380,107,104.32
14.33,1.02,848,93,78,14.54
22.66,0.49,593,12,78,1.29
3.75,0.75,785,442,100,70.22
20.25,0.68,584,260,70,35.05
18.3,1.31,1026,165,111,38.97
17.8,0.61,835,122,61,8.91
4.15,0.19,518,453,142,39.32
7.23,0.14,1082,197,76,3.2
25.08,0.84,1151,490,121,71.97
11.82,0.25,520,314,82,20.5
6.1,0.51,1176,462,143,47.75
13.74,0.25,984,137,111,6.35
9.35,0.39,606,368,64,25.12
17.13,1.43,504,38,75,12.77
3.21,0.8,947,278,129,50.13
14.55,1.46,649,45,130,21.93
27.17,5.43,1029,147,114,147.39
9.46,0.39,525,271,136,45.46
16.52,3.3,518,46,113,53.99
16.15,0.56,1029,15,138,1.88
12.69,0.24,793,82,140,5.72
15.32,0.3,507,221,75,16.2
8.06,0.22,576,250,76,12.05
25.89,0.68,1445,50,147,5.53
6.82,0.17,923,396,127,15.44
16.91,1.54,856,117,91,31.92
6.78,0.97,673,321,117,90.22
11.51,0.3,968,344,61,10.78
15.01,0.88,744,33,122,7.94
20.52,1.87,987,192,133,80.64
27.64,0.81,1156,391,91,41.45
16.19,2.02,643,346,116,209.54
4.99,0.1,1289,348,61,2.74
19.35,0.57,1296,435,88,28.06
18.17,0.47,1159,305,77,15.77
6.42,0.16,1272,192,148,5.96
8.22,0.25,1227,116,142,5.5
23.12,0.45,597,419,110,57.63
19.78,0.53,1125,208,115,18.69
5.71,0.1,1011,21,84,0.29
17.59,0.31,817,37,125,2.85
2.97,0.06,1396,269,125,2.39
4.57,0.18,1118,41,93,0.97
17.42,0.3,850,202,122,14.42
6.21,0.17,1013,144,83,3.34
23.63,1.69,1091,364,137,128.39
26.66,13.33,706,124,104,402.54
27.91,1.16,1120,250,139,59.75
20.68,6.89,1142,298,108,322.54
4.21,0.23,1030,65,92,2.16
24.01,0.53,1115,278,89,19.46
3.28,0.12,870,409,99,9.29
13.37,0.33,501,293,112,35.78
16.64,1.51,760,72,115,27.42
10.43,0.2,531,172,114,12.24
4.44,0.22,828,444,122,23.99
25.62,0.83,761,2,125,0.0
14.6,0.63,656,467,90,66.99
18.23,1.22,588,299,97,99.62
23.22,0.54,1111,265,139,29.73
7.18,0.55,1059,103,132,11.65
23.03,0.58,908,397,77,32.46
20.22,0.39,737,160,79,11.08
6.09,0.11,582,246,104,8.06
20.37,0.57,1386,441,72,21.76
21.68,1.45,830,346,134,134.61
3.03,0.1,1226,129,61,1.07
23.4,7.8,733,146,121,309.02
7.18,0.19,537,317,100,18.58
24.75,0.47,1358,193,108,11.96
4.62,0.14,1281,10,106,0.17
29.93,1.25,677,32,127,11.72
8.78,0.2,995,176,138,8.04
6.72,0.28,1499,90,137,3.84
14.02,0.45,855,163,131,18.62
17.76,0.44,613,323,126,48.39
9.94,9.94,663,298,136,1009.29
29.23,14.62,1078,57,135,173.93
2.57,1.29,779,132,89,32.42
9.31,0.17,504,444,90,22.46
10.44,0.2,1456,68,133,2.01
24.8,0.78,1432,280,80,20.26
25.91,0.72,1263,234,91,20.23
15.22,0.33,822,463,98,30.29
23.45,1.38,1017,478,91,98.17
25.62,0.5,661,238,145,43.32
29.2,0.94,1418,47,67,3.33
28.58,0.87,506,378,61,66.08
3.28,0.33,1084,424,124,26.61
18.46,0.34,968,397,114,26.43
13.42,2.24,686,430,131,305.84
19.78,0.82,1289,408,62,26.82
5.82,0.58,1464,117,63,4.87
3.74,0.12,903,326,80,5.74
28.92,2.22,1301,172,78,37.93
22.79,22.79,626,5,92,16.75
7.46,0.25,1244,428,62,8.85
28.9,1.11,1411,211,131,36.07
21.72,2.17,1301,299,133,109.81
16.23,0.31,1402,327,112,13.5
20.71,0.38,1484,129,77,4.24
17.97,0.69,1459,475,70,26.15
17.26,0.32,772,27,149,2.78
15.6,15.6,1139,27,97,59.78
4.2,0.16,1134,325,78,5.94
9.53,3.18,1233,224,137,130.73
2.16,0.18,956,213,107,7.15
6.02,0.19,618,191,96,9.3
24.12,0.42,850,468,72,27.75
20.58,0.45,1326,444,116,29.13
4.01,0.18,514,24,86,1.2
17.76,2.22,1172,166,122,63.55
24.23,1.51,1475,459,76,59.52
3.72,0.11,904,196,137,5.42
19.64,0.4,1469,387,63,11.06
4.16,0.13,1469,33,65,0.32
7.02,1.0,666,306,107,81.94
18.91,0.35,1255,286,148,19.61
21.68,1.28,950,489,66,72.47
11.71,0.53,841,206,62,13.28
8.73,0.19,1035,231,125,8.83
10.84,0.9,1137,395,87,45.11
13.75,0.69,1229,193,66,11.86
26.29,0.56,1417,18,133,1.58
29.86,1.24,923,156,97,33.88
25.07,0.5,727,405,82,38.07
17.17,17.17,894,42,118,158.64
11.37,0.23,1458,48,143,1.8
20.67,5.17,1056,318,63,163.47
19.08,1.47,1191,30,133,8.21
10.23,0.43,1281,277,147,22.7
23.17,0.58,1476,359,84,19.64
29.67,1.14,1080,143,98,24.31
29.65,0.51,1358,240,129,19.38
23.16,5.79,1261,334,77,196.22
26.36,0.57,1056,195,89,15.61
15.89,0.3,1311,269,141,14.36
3.98,0.23,730,205,111,11.89
24.7,0.45,1436,143,96,7.07
26.96,0.49,825,351,102,35.44
20.3,0.51,1191,312,133,29.62
2.2,0.1,1416,170,64,1.27
8.24,0.16,650,98,114,4.49
29.74,0.99,603,378,128,132.39
26.08,0.47,1164,110,144,10.47
12.74,0.25,1096,455,136,23.42
18.06,0.45,831,360,134,43.54
9.76,0.29,896,76,76,3.07
25.3,0.51,706,215,138,35.39
5.67,0.11,824,36,80,0.64
22.9,4.58,628,436,103,544.6
20.06,0.35,643,302,146,39.74
11.75,0.35,821,56,77,2.95
2.68,0.17,1178,152,67,2.42
22.69,0.4,669,59,71,4.03
29.76,1.19,1292,214,148,48.39
12.52,0.23,1070,481,149,25.62
14.21,0.32,582,119,113,12.12
24.75,0.53,1256,24,91,1.54
20.31,0.81,933,493,60,42.71
13.61,0.5,1358,267,134,21.96
24.36,0.48,1096,366,141,37.67
3.33,0.06,1258,319,78,1.97
16.81,0.3,763,114,101,7.55
20.83,6.94,802,40,78,43.87
4.98,1.66,637,376,128,208.48
17.98,0.54,833,449,86,41.53
5.48,0.13,759,250,60,4.26
12.96,0.76,1065,228,82,22.24
14.29,14.29,1051,182,121,493.56
4.24,0.12,1006,475,61,5.75
8.25,0.18,1301,358,115,9.47
20.46,0.44,1143,345,91,20.14
18.31,0.92,1150,152,124,24.8
13.22,0.31,776,247,113,18.51
5.48,0.17,523,4,111,0.18
11.12,0.26,990,205,130,11.61
6.68,0.45,1352,23,102,1.19
19.31,0.5,1215,128,61,5.27
13.7,0.91,1048,95,61,8.21
4.52,0.08,801,250,79,3.27
19.22,0.71,935,233,126,36.84
22.88,1.76,886,471,107,166.85
6.56,0.12,587,72,112,2.75
19.15,0.42,666,39,76,3.12
11.83,0.44,848,473,148,60.28
10.24,0.27,838,347,134,24.83
9.36,0.26,1183,272,149,14.74
4.8,0.18,802,263,95,9.27
13.03,0.32,1021,209,113,12.22
5.88,2.94,945,458,73,172.6
22.28,1.59,886,374,131,145.76
12.3,0.31,796,239,128,19.69
7.91,0.25,575,154,111,12.31
22.66,0.38,1208,188,109,10.63
20.95,0.44,1290,302,124,21.15
16.91,0.81,1130,219,148,38.72
5.25,0.48,509,457,131,93.89
12.08,0.34,912,183,76,8.64
9.47,0.68,709,380,129,77.95
13.42,0.54,593,370,102,57.12
25.6,1.22,841,387,84,78.6
22.97,0.41,573,253,95,28.55
22.4,0.8,978,218,93,27.39
26.32,26.32,1020,134,113,641.49
18.54,0.45,921,463,67,25.21
2.74,0.07,708,269,147,6.47
18.04,4.51,1118,414,92,256.08
15.42,0.26,1017,299,114,14.43
26.63,1.66,1497,316,60,34.93
6.18,0.13,791,231,114,7.21
10.81,0.26,765,441,86,21.48
12.92,0.59,795,481,85,50.47
26.83,2.68,1496,431,81,103.75
15.43,0.77,1124,68,141,10.63
23.38,3.34,504,41,88,37.91
16.4,0.41,945,21,109,1.66
14.03,0.83,1115,392,72,34.84
10.97,0.27,552,460,62,23.2
4.43,0.08,1461,20,128,0.21
14.19,7.1,850,385,81,433.02
20.98,0.66,1456,100,129,9.65
22.01,1.38,1190,198,111,42.48
10.42,0.2,1050,166,135,7.07
13.55,0.27,1334,379,99,12.62
3.39,0.15,519,381,70,12.85
4.55,0.51,854,296,112,32.77
12.26,0.47,1140,414,105,29.87
28.6,0.72,1194,483,137,66.5
28.65,0.99,509,52,79,13.06
