Date,Activity ID,Type,Distance (km),Duration,Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
2021-03-25,024503ee-ed2a-4538-ac04-716f808bb5d2,Other,14.81,2572,0.35,877,312,67,712.19
2021-07-03,23891c74-28df-42a5-a147-a5e801ce48d0,Other,13.06,2019,0.4,583,399,75,434.0
2022-04-01,9cfe6a8c-6370-4df4-852f-f9afad5c7ce0,Running,7.4,3526,0.13,649,210,71,354.37
2020-08-22,8d11ecce-6471-4d40-b35a-f01cf4e57a95,Walking,18.1,1884,0.58,1338,47,108,84.14
2021-02-12,ccd466b3-c50e-4575-adcb-fe421d00a4c5,Running,22.08,812,1.7,1085,362,114,218.12
2022-08-01,2f9ea60a-5fc3-484c-b73f-49976c9912e4,Running,27.88,187,9.29,694,338,146,24.02
2021-02-23,f4234e5f-dc2b-4c45-acf7-134e0fa1bef9,Other,8.13,2927,0.17,900,436,61,1037.8
2020-11-24,092f618d-60a7-4c2a-bafe-6d30b64d60b5,Cycling,9.15,2968,0.19,1344,482,129,1004.31
2021-09-29,8ae212d7-89fd-4462-bc44-8308ae003d8a,Walking,3.62,1111,0.2,642,316,123,124.05
2022-04-07,734e04b3-555d-44e1-ba28-993e2d4e7245,Running,9.46,2620,0.22,1500,317,104,806.71
2021-08-03,502e0f02-a029-4fb3-b6e8-509c0c0e4a5a,Walking,29.83,266,7.46,1391,278,75,102.17
2022-01-08,134d3fa7-a28a-4f10-9c2e-8d5ee1e92de8,Cycling,14.36,206,4.79,1389,343,139,50.99
2020-08-25,83fbb758-ffeb-4281-b388-a745857a9c5e,Walking,25.55,3462,0.45,733,304,135,432.95
2022-05-25,deb9b4f8-fa62-4577-b814-fd905efb2e82,Walking,2.77,217,0.92,855,462,148,38.76
2021-09-12,49331f81-8bc4-434d-9b24-d569f5a3fdcc,Cycling,11.67,3377,0.21,1019,71,71,212.03
2022-01-22,8714ec57-8b90-41a3-8947-bb487604b058,Walking,16.85,621,1.69,862,114,141,34.03
